lat,lon,title,type,link 
54.41,18.59,Czerwony Dwór,Tramwaj,
54.41,18.59,Bora - Komorowskiego,Tramwaj,
54.41,18.59,Bora - Komorowskiego,Tramwaj,
54.4,18.59,Kołobrzeska,Tramwaj,
54.4,18.59,Kołobrzeska,Tramwaj,
54.4,18.59,Zaspa,Tramwaj,
54.4,18.59,Zaspa,Tramwaj,
54.4,18.6,Startowa,Tramwaj,
54.4,18.6,Startowa,Tramwaj,
54.39,18.6,Jana Pawła II,Tramwaj,
54.39,18.6,Jana Pawła II,Tramwaj,
54.39,18.61,Żwirki i Wigury,Tramwaj,
54.39,18.61,Żwirki i Wigury,Tramwaj,
54.39,18.61,Bajana,Tramwaj,
54.39,18.61,Bajana,Tramwaj,
54.39,18.61,Legionów,Tramwaj,
54.39,18.61,Legionów,Tramwaj,
54.38,18.61,Plac Komorowskiego,Tramwaj,
54.38,18.61,Plac Komorowskiego,Tramwaj,
54.38,18.62,Mickiewicza,Tramwaj,
54.38,18.62,Mickiewicza,Tramwaj,
54.38,18.62,Reja,Tramwaj,
54.38,18.62,Reja,Tramwaj,
54.38,18.62,Wyspiańskiego,Tramwaj,
54.38,18.62,Wyspiańskiego,Tramwaj,
54.38,18.63,Kliniczna,Tramwaj,
54.38,18.63,Kliniczna,Tramwaj,
54.37,18.63,Twarda,Tramwaj,
54.37,18.63,Twarda,Tramwaj,
54.37,18.63,Stocznia Północna,Tramwaj,
54.37,18.63,Stocznia Północna,Tramwaj,
54.36,18.64,Stocznia SKM,Tramwaj,
54.36,18.64,Stocznia SKM,Tramwaj,
54.36,18.65,Plac Solidarności,Tramwaj,
54.36,18.65,Plac Solidarności,Tramwaj,
54.42,18.59,Helska,Tramwaj,
54.42,18.59,Helska,Tramwaj,
54.42,18.58,Osiedle Wejhera,Tramwaj,
54.42,18.58,Osiedle Wejhera,Tramwaj,
54.42,18.58,Gospody,Tramwaj,
54.42,18.58,Pomorska - Osiedle,Tramwaj,
54.42,18.58,Pomorska - Osiedle,Tramwaj,
54.42,18.57,Subisława,Tramwaj,
54.42,18.57,Subisława,Tramwaj,
54.41,18.57,Opacka,Tramwaj,
54.41,18.57,Opacka,Tramwaj,
