lat,lon,title,type,link 
54.52,18.53,Gdynia Dworzec Gł. PKP - Morska,Autobus,
54.35,18.64,Śródmieście SKM,Autobus,
54.35,18.49,Fabryczna,Autobus,
54.38,18.61,Nad Stawem,Autobus,
54.39,18.61,Legionów,Autobus,
54.34,18.65,Toruńska,Autobus,
54.52,18.54,Plac Kaszubski - Świętojańska,Autobus,
54.26,18.63,Pruszcz Pogotowie Ratunkowe,Autobus,
54.27,18.62,Pruszcz Rondo Bursztynowe,Autobus,
54.43,18.56,Sopot Hospicjum (N/Ż),Autobus,
54.35,18.48,Stokłosy (N/Ż),Autobus,
54.35,18.47,Leźnieńska (N/Ż),Autobus,
54.52,18.54,Skwer Kościuszki - InfoBox,Autobus,
54.36,18.65,Jana z Kolna (dla wysiadających),Autobus,
54.3,18.61,Jagiełły (N/Ż),Autobus,
54.3,18.61,Jagiełły (N/Ż),Autobus,
54.52,18.54,Żwirki i Wigury,Autobus,
54.33,18.8,Wiślinka Szkolna,Autobus,
54.33,18.8,Wiślinka Szkolna,Autobus,
54.56,18.48,Pogórze Górne,Autobus,
54.34,18.82,Wiślinka Piaskowa (N/Ż),Autobus,
54.34,18.82,Wiślinka Piaskowa (N/Ż),Autobus,
54.34,18.81,Wiślinka Sportowa (N/Ż),Autobus,
54.34,18.81,Wiślinka Sportowa (N/Ż),Autobus,
54.34,18.8,Wiślinka Pocztowa,Autobus,
54.34,18.8,Wiślinka Pocztowa,Autobus,
54.51,18.54,Traugutta,Autobus,
54.34,18.79,Wiślinka Brzegowa (N/Ż),Autobus,
54.34,18.79,Wiślinka Brzegowa (N/Ż),Autobus,
54.33,18.74,Przejazdowo Sezonowa (N/Ż),Autobus,
54.33,18.74,Przejazdowo Sezonowa (N/Ż),Autobus,
54.32,18.75,Przejazdowo Łąkowa (N/Ż),Autobus,
54.32,18.75,Przejazdowo Łąkowa (N/Ż),Autobus,
54.32,18.75,Przejazdowo Jesionowa,Autobus,
54.32,18.75,Przejazdowo Jesionowa,Autobus,
54.56,18.49,Steyera,Autobus,
54.56,18.49,Sikorskiego,Autobus,
54.34,18.74,Przejazdowo Dobrowo (N/Ż),Autobus,
54.56,18.5,Staniewicza,Autobus,
54.34,18.74,Przejazdowo Dobrowo (N/Ż),Autobus,
54.32,18.76,Bogatka III (N/Ż),Autobus,
54.32,18.76,Bogatka III (N/Ż),Autobus,
54.33,18.78,Bogatka I (N/Ż),Autobus,
54.33,18.78,Bogatka I (N/Ż),Autobus,
54.32,18.78,Bogatka II,Autobus,
54.32,18.78,Bogatka II,Autobus,
54.35,18.66,Chmielna (N/Ż),Autobus,
54.55,18.52,Stolarska,Autobus,
54.55,18.52,Benisławskiego,Autobus,
54.3,18.55,Kowale Szlachecka (N/Ż),Autobus,
54.31,18.55,Kowale Kasztelańska,Autobus,
54.31,18.56,Kowale Starowiejska,Autobus,
54.31,18.57,Kowale Szkoła Metropolitalna,Autobus,
54.31,18.57,Kowale Plac Afrodyty,Autobus,
54.31,18.57,Kowale Osiedle Olimp,Autobus,
54.31,18.57,Kowale Osiedle Olimp,Autobus,
54.31,18.56,Kowale Osiedle Olimp,Autobus,
54.26,18.67,Pruszcz Osiedle Wschód,Autobus,
54.26,18.67,Pruszcz Osiedle Wschód,Autobus,
54.34,18.63,Worcella,Autobus,
54.38,18.68,Ku Ujściu,Autobus,
54.26,18.67,Pruszcz Aeroklub Gdański (N/Ż),Autobus,
54.5,18.54,Centrum Nauki Experyment,Autobus,
54.26,18.66,Pruszcz 49 Baza Lotnicza,Autobus,
54.26,18.66,Pruszcz 49 Baza Lotnicza,Autobus,
54.37,18.69,Andruszkiewicza,Autobus,
54.49,18.54,Redłowo SKM - Park Technologiczny,Autobus,
54.26,18.66,Pruszcz Słowackiego,Autobus,
54.32,18.57,Jaworzniaków,Autobus,
54.25,18.62,Pruszcz Zastawna (N/Ż),Autobus,
54.25,18.62,Pruszcz Zastawna (N/Ż),Autobus,
54.39,18.4,Banino Borowiecka,Autobus,
54.49,18.54,Zwycięstwa - Wielkopolska,Autobus,
54.26,18.63,Pruszcz Obrońców Wybrzeża,Autobus,
54.26,18.63,Pruszcz Cicha (Cmentarz) (N/Ż),Autobus,
54.26,18.63,Pruszcz Cyprysowa (N/Ż),Autobus,
54.26,18.63,Pruszcz Faktoria,Autobus,
54.26,18.65,Pruszcz Dąbrowskiego (N/Ż),Autobus,
54.38,18.47,Port Lotniczy,Autobus,
54.39,18.65,Rondo Mazowieckiego,Autobus,
54.39,18.65,Rondo Mazowieckiego,Autobus,
54.35,18.61,Siedlce,Autobus,
54.35,18.61,Siedlce,Autobus,
54.42,18.45,Osowa PKP,Autobus,
54.37,18.51,Matarnia PKM,Autobus,
54.37,18.51,Matarnia PKM,Autobus,
54.4,18.58,Biblioteka Główna UG,Autobus,
54.4,18.58,Biblioteka Główna UG,Autobus,
54.35,18.55,Jasieńska,Autobus,
54.35,18.55,Jasieńska,Autobus,
54.35,18.55,Jasień PKM,Autobus,
54.35,18.55,Jasieńska,Autobus,
54.26,18.67,Pruszcz Wysockiego,Autobus,
54.26,18.68,Pruszcz Wysockiego,Autobus,
54.34,18.55,Źródlana,Autobus,
54.44,18.56,Sopot PKP,Autobus,
54.36,18.62,Focha (N/Ż),Autobus,
54.36,18.62,Focha (N/Ż),Autobus,
54.45,18.54,Sopot 23 Marca,Autobus,
54.45,18.54,Sopot 23 Marca,Autobus,
54.45,18.57,Sopot Grand Hotel,Autobus,
54.45,18.56,Sopot Korty Tenisowe (N/Ż),Autobus,
54.45,18.56,Sopot Plac Kusocińskiego (N/Ż),Autobus,
54.45,18.56,Sopot Młyńska (N/Ż),Autobus,
54.43,18.56,Sopot Kochanowskiego,Autobus,
54.44,18.56,Sopot Wybickiego,Autobus,
54.44,18.56,Sopot Sikorskiego,Autobus,
54.45,18.56,Sopot Malczewskiego,Autobus,
54.45,18.56,Sopot Wejherowska,Autobus,
54.46,18.55,Sopot Kamienny Potok SKM,Autobus,
54.43,18.59,"Sopot Hotel ""Marina""",Autobus,
54.43,18.58,Sopot Hestii,Autobus,
54.43,18.58,Sopot Polna,Autobus,
54.44,18.57,Sopot Bitwy pod Płowcami,Autobus,
54.45,18.53,"Sopot Sanatorium ""Leśnik""",Autobus,
54.45,18.54,Sopot Przylesie,Autobus,
54.43,18.58,Sopot Hestii,Autobus,
54.43,18.59,"Sopot Hotel ""Marina""",Autobus,
54.45,18.55,Sopot Okrężna (N/Ż),Autobus,
54.45,18.55,Sopot Uniwersytet Gdański,Autobus,
54.44,18.56,Sopot Sikorskiego,Autobus,
54.44,18.56,Sopot PKP - Niepodległości,Autobus,
54.43,18.56,Sopot 3 Maja,Autobus,
54.43,18.56,Sopot Reja,Autobus,
54.43,18.56,Sopot Smolna (N/Ż),Autobus,
54.42,18.56,Sopot Kasztanowa,Autobus,
54.43,18.56,Sopot Smolna (N/Ż),Autobus,
54.43,18.56,Sopot Reja,Autobus,
54.43,18.56,Sopot 3 Maja,Autobus,
54.44,18.56,Sopot PKP - Niepodległości,Autobus,
54.44,18.56,Sopot Sikorskiego,Autobus,
54.44,18.56,Sopot Uniwersytet Gdański,Autobus,
54.45,18.55,Sopot Okrężna (N/Ż),Autobus,
54.45,18.54,Sopot Przylesie,Autobus,
54.36,18.75,Górecka (N/Ż),Autobus,
54.36,18.75,Górecka (N/Ż),Autobus,
54.41,18.49,Meteorytowa (N/Ż),Autobus,
54.26,18.67,Pruszcz Broniewskiego,Autobus,
54.4,18.67,Władysława IV,Autobus,
54.26,18.67,Pruszcz Broniewskiego,Autobus,
54.4,18.57,Bażyńskiego,Autobus,
54.4,18.57,Bażyńskiego,Autobus,
54.4,18.56,Jasia i Małgosi,Autobus,
54.4,18.56,Jasia i Małgosi,Autobus,
54.39,18.57,Szpital Marynarki Wojennej,Autobus,
54.39,18.57,Szpital Marynarki Wojennej,Autobus,
54.39,18.57,Meczet,Autobus,
54.38,18.58,Reymonta,Autobus,
54.37,18.56,Leśna Góra - Przychodnia (N/Ż),Autobus,
54.37,18.56,Leśna Góra - Przychodnia (N/Ż),Autobus,
54.37,18.56,Leśna Góra,Autobus,
54.34,18.64,Cmentarna (N/Ż),Autobus,
54.41,18.48,Meteorytowa (N/Ż),Autobus,
54.31,18.6,Pastelowa,Autobus,
54.31,18.6,Pastelowa,Autobus,
54.42,18.57,Subisława,Autobus,
54.36,18.72,Stogi (techniczny),Autobus,
54.35,18.66,Chmielna (N/Ż),Autobus,
54.32,18.63,Orunia Gościnna,Autobus,
54.43,18.56,Sopot Reja,Autobus,
54.4,18.62,Aleja Płażyńskiego,Autobus,
54.4,18.62,Aleja Płażyńskiego,Autobus,
54.4,18.62,Aleja Płażyńskiego,Autobus,
54.4,18.63,Uczniowska,Autobus,
54.38,18.64,Żaglowa - AmberExpo (N/Ż),Autobus,
54.33,18.58,Jeleniogórska,Autobus,
54.33,18.58,Jeleniogórska,Autobus,
54.33,18.58,Piotrkowska,Autobus,
54.33,18.59,Przemyska,Autobus,
54.34,18.6,Wilanowska,Autobus,
54.34,18.6,Wilanowska,Autobus,
54.33,18.56,Jabłoniowa Osiedle,Autobus,
54.33,18.56,Jabłoniowa Osiedle,Autobus,
54.33,18.56,Leszczynowa,Autobus,
54.33,18.56,Leszczynowa,Autobus,
54.32,18.55,Czermińskiego,Autobus,
54.32,18.56,Rębowo,Autobus,
54.32,18.56,Rębowo,Autobus,
54.32,18.56,Baśniowa,Autobus,
54.32,18.57,Baśniowa,Autobus,
54.32,18.57,Elfów,Autobus,
54.32,18.57,Elfów,Autobus,
54.31,18.57,Osiedle Świętokrzyskie,Autobus,
54.31,18.57,Osiedle Świętokrzyskie,Autobus,
54.31,18.57,Osiedle Świętokrzyskie,Autobus,
54.33,18.84,Sobieszewko Ośrodek (N/Ż),Autobus,
54.33,18.84,Sobieszewko (N/Ż),Autobus,
54.32,18.58,Porębskiego,Autobus,
54.32,18.58,Porębskiego,Autobus,
54.35,18.53,Szczęśliwa,Autobus,
54.35,18.53,Szczęśliwa,Autobus,
54.35,18.53,Przytulna,Autobus,
54.38,18.57,Trawki (N/Ż),Autobus,
54.38,18.58,Cmentarz Srebrzysko,Autobus,
54.38,18.58,Cmentarz Srebrzysko,Autobus,
54.38,18.59,Zabytkowa,Autobus,
54.38,18.59,Zabytkowa,Autobus,
54.37,18.62,Centrum Medycyny Inwazyjnej,Autobus,
54.37,18.62,Centrum Medycyny Inwazyjnej,Autobus,
54.39,18.49,Radarowa (N/Ż),Autobus,
54.39,18.49,Radarowa (N/Ż),Autobus,
54.36,18.62,Szpital Zakaźny,Autobus,
54.36,18.62,Szpital Zakaźny,Autobus,
54.37,18.63,Traugutta,Autobus,
54.37,18.63,Centrum Onkologii (N/Ż),Autobus,
54.37,18.62,Opera Bałtycka (N/Ż),Autobus,
54.4,18.49,Telewizyjna (N/Ż),Autobus,
54.4,18.49,Telewizyjna (N/Ż),Autobus,
54.31,18.59,Hokejowa,Autobus,
54.31,18.59,Hokejowa,Autobus,
54.41,18.59,Bora Komorowskiego,Autobus,
54.41,18.59,Bora Komorowskiego,Autobus,
54.34,18.66,Śluza,Autobus,
54.39,18.48,Ikara,Autobus,
54.39,18.48,Ikara,Autobus,
54.41,18.48,Owczarnia,Autobus,
54.41,18.48,Owczarnia,Autobus,
54.42,18.48,Marsa,Autobus,
54.42,18.48,Marsa,Autobus,
54.35,18.56,Staw Wróbla ,Autobus,
54.37,18.62,Smoluchowskiego,Autobus,
54.37,18.62,Smoluchowskiego,Autobus,
54.33,18.6,Płocka,Autobus,
54.33,18.6,Płocka,Autobus,
54.33,18.6,Rogalińska,Autobus,
54.33,18.6,Rogalińska,Autobus,
54.34,18.6,Osiedle Jary,Autobus,
